Name,Value
Brilliant,0.13864262000
Shiny,0.13132377921
Radiant,0.01867665046
Metal,0.13252687633
Silver,0.05706117749
Gold,0.03801213982
Platinum,0.03304220293
Copper,0.00220567805
Weapon Parts,0.00220567805
Flower,0.05729033884
Colorful,0.09882583451
Momo Friends Cafe Set,0.00581325068
Jellies Arcade Set,0.00581325068
Valentine's Set,0.00581325068
Summer Pool Party Set,0.00581325068
Jack-O-Lantern Cafe Set,0.00581325068
Hot Springs Resort Set,0.00581325068
New Year's House Set,0.00581325068
Military Campground Set,0.00581325068
Beachside Set,0.00581325068
Field Day Set,0.00581325068
Abydos Classroom Set,0.00581325068
Game Development Department Set,0.00581325068
Sunshine Resort Set,0.00581325068
Shopping Mall Set,0.00581325068
Gehenna Party Set,0.00581325068
Trinity Classroom Set,0.00581325068
DJ Party Venue Set,0.00581325068
Red,0.01298714691
Yellow,0.00494444269
Brown,0.00216442900
Orange,0.00942196913
Pink,0.00337411451
Gray,0.02994265237
Black,0.01092870504
Yellow-Green,0.02151796482
Turquoise,0.00142165976
White,0.00137926491
Purple,0.00074262602
Peony,0.00409210568
Morning Glory,0.00409210568
Rose,0.00409210568
Tulip,0.00409210568
Cherry Blossom,0.00409210568
Daffodil,0.00409210568
Zinnia,0.00409210568
Dandelion,0.00409210568
Lily,0.00409210568
Marigold,0.00409210568
Bellflower,0.00409210568
Magnolia,0.00409210568
Azalea,0.00409210568
Jade Blossom,0.00409210568
Hyakkiyako,0.00391636756
Red Winter,0.00391636756
Trinity,0.00391636756
Gehenna,0.00391636756
Abydos,0.00391636756
Millennium,0.00391636756
Shanhaijing,0.00391636756
Valkyrie,0.00391636756
Arius,0.00391636756
